name,team,current_rank
Shohei Ohtani,LAD,1
Yordan Alvarez,HOU,2
Bobby Witt Jr.,KC,3
Pete Crow-Armstrong,CHC,4
Junior Caminero,TB,5
Jacob Misiorowski,MIL,6
Tarik Skubal,LAD,7
Kyle Schwarber,PHI,8
Elly De La Cruz,CIN,9
Julio Rodriguez,SEA,10
Fernando Tatis Jr.,SD,11
Cristopher Sanchez,PHI,12
Corbin Carroll,ARI,13
Yoshinobu Yamamoto,LAD,14
Chris Sale,ATL,15
Zack Wheeler,PHI,16
Matt Olson,ATL,17
Jose Ramirez,CLE,18
Jackson Chourio,MIL,19
Cam Schlittler,NYY,20
James Wood,WSH,21
Mason Miller,SD,22
Jacob deGrom,TEX,23
Sal Stewart,CIN,24
Ben Rice,NYY,25
Ronald Acuna Jr.,ATL,26
Freddie Freeman,LAD,27
CJ Abrams,WSH,28
Bryce Harper,PHI,29
Trea Turner,PHI,30
Ketel Marte,ARI,31
Randy Arozarena,SEA,32
Paul Skenes,PIT,33
Pete Alonso,BAL,34
Logan Gilbert,SEA,35
Cade Smith,CLE,36
Jordan Walker,STL,37
Michael Harris II,ATL,38
Jhoan Duran,PHI,39
Jesus Luzardo,PHI,40
David Bednar,NYY,41
Chase Burns,CIN,42
Kevin McGonigle,DET,43
Otto Lopez,MIA,44
Brice Turang,MIL,45
Hunter Goodman,COL,46
Miguel Vargas,CWS,47
Zach Neto,LAA,48
Yandy Diaz,TB,49
Aroldis Chapman,BOS,50
Dylan Cease,TOR,51
Alec Burleson,STL,52
Nolan McLean,NYM,53
Gerrit Cole,NYY,54
Gunnar Henderson,BAL,55
Bryan Woo,SEA,56
Vladimir Guerrero Jr.,TOR,57
Jazz Chisholm Jr.,NYY,58
Jackson Merrill,SD,59
Louis Varland,TOR,60
Seiya Suzuki,CHC,61
Drew Rasmussen,TB,62
Gavin Williams,CLE,63
Kyle Tucker,LAD,64
Mookie Betts,LAD,65
Juan Soto,NYM,66
Bryan Reynolds,PIT,67
Kevin Gausman,CHC,68
Francisco Lindor,NYM,69
Logan Webb,SF,70
Ceddanne Rafaela,BOS,71
Ozzie Albies,ATL,72
Josh Naylor,SEA,73
Wyatt Langford,TEX,74
Drake Baldwin,ATL,75
Max Fried,NYY,76
Josh Hader,HOU,77
Oneil Cruz,PIT,78
Jac Caglianone,KC,79
Rafael Devers,SF,80
Parker Messick,CLE,81
Andres Munoz,SEA,82
Riley Greene,DET,83
William Contreras,MIL,84
Wilyer Abreu,BOS,85
Manny Machado,SD,86
George Kirby,SEA,87
Blake Snell,LAD,88
Bryan Baker,TB,89
Carson Benge,NYM,90
Payton Tolle,BOS,91
Munetaka Murakami,CWS,92
Hunter Brown,HOU,93
Jeremy Pena,HOU,94
Raisel Iglesias,ATL,95
Sonny Gray,BOS,96
Joe Ryan,MIN,97
Brandon Lowe,PIT,98
Shota Imanaga,CHC,99
Trevor Megill,MIL,100
Mike Trout,LAA,101
Corey Seager,TEX,102
Bryce Miller,SEA,103
Jake McCarthy,COL,104
Teoscar Hernandez,LAD,105
Tanner Scott,LAD,106
Logan Henderson,MIL,107
Luis Garcia,NYY,108
Brandon Nimmo,TEX,109
Tyler Glasnow,LAD,110
Bo Bichette,NYM,111
Jonathan Aranda,TB,112
Alex Bregman,CHC,113
Braxton Ashcraft,PIT,114
Kyle Harrison,MIL,115
Cal Raleigh,SEA,116
Aaron Judge,NYY,117
Michael King,SD,118
Geraldo Perdomo,ARI,119
Cody Bellinger,NYY,120
Nick Kurtz,ATH,121
Daylen Lile,WSH,122
Dillon Dingler,DET,123
Jo Adell,CLE,124
Kyle Bradish,BAL,125
Jake Bauers,MIL,126
George Springer,TOR,127
Colson Montgomery,CWS,128
Nico Hoerner,CHC,129
Chandler Simpson,TB,130
Framber Valdez,DET,131
Jose Soriano,TOR,132
Austin Riley,ATL,133
Caleb Durbin,BOS,134
Byron Buxton,MIN,135
Christian Walker,HOU,136
Brandon Marsh,PHI,137
Ranger Suarez,BOS,138
Kenley Jansen,DET,139
Eury Perez,MIA,140
Jose Altuve,HOU,141
Foster Griffin,CLE,142
JJ Wetherholt,STL,143
Jacob Latz,TEX,144
Michael Busch,CHC,145
Sandy Alcantara,MIA,146
Cade Cavalli,WSH,147
Willson Contreras,BOS,148
Max Muncy,LAD,149
Cole Carrigg,COL,150
A.J. Ewing,NYM,151
Kazuma Okamoto,TOR,152
Reid Detmers,LAA,153
Mickey Moniak,COL,154
Ian Happ,CHC,155
Grant Taylor,CWS,156
Jake Bennett,BOS,157
Xavier Edwards,MIA,158
Sam Antonacci,CWS,159
Freddy Peralta,TB,160
Roman Anthony,BOS,161
Xander Bogaerts,SD,162
Carlos Rodon,NYY,163
Riley O'Brien,STL,164
Travis Bazzana,CLE,165
MacKenzie Gore,TEX,166
Chase DeLauter,CLE,167
Gabriel Moreno,ARI,168
Ivan Herrera,STL,169
Vinnie Pasquantino,KC,170
Bryce Eldridge,SF,171
Sean Burke,CWS,172
Tommy Edman,LAD,173
Ian Seymour,TB,174
Trevor Rogers,BAL,175
Salvador Perez,KC,176
Andy Pages,LAD,177
Kyle Stowers,MIA,178
Tyler Soderstrom,ATH,179
Jared Jones,PIT,180
Troy Melton,DET,181
Jake Burger,TEX,182
Casey Mize,SD,183
Bryson Stott,PHI,184
Daulton Varsho,HOU,185
Isaac Paredes,HOU,186
Shane McClanahan,TB,187
Luis Arraez,PHI,188
Royce Lewis,MIN,189
Nick Martinez,TB,190
Daniel Palencia,CHC,191
Luke Weaver,PIT,192
Robbie Ray,SD,193
Nathan Eovaldi,TEX,194
Trey Yesavage,TOR,195
Dominic Canzone,SEA,196
Liam Hicks,TB,197
Dansby Swanson,CHC,198
Emerson Hancock,SEA,199
Steven Kwan,CLE,200
Brooks Lee,MIN,201
Noah Cameron,KC,202
Ty France,SD,203
TJ Rumfield,COL,204
Esmerlyn Valdez,PIT,205
Michael Wacha,KC,206
Gleyber Torres,DET,207
Nick Gonzales,PIT,208
Konnor Griffin,PIT,209
Taj Bradley,MIN,210
Luke Keaschall,MIN,211
Ryan Jeffers,MIN,212
Christian Yelich,MIL,213
Kody Clemens,MIN,214
Justin Martinez,ARI,215
Christian Scott,NYM,216
Jarren Duran,BOS,217
JJ Bleday,CIN,218
Adrian Morejon,SD,219
Lawrence Butler,ATH,220
Adley Rutschman,BOS,221
Ezequiel Duran,TEX,222
Willy Adames,SF,223
Jeff Hoffman,MIN,224
Max Clark,DET,225
