name,team,current_rank
Nikola Jokic,DEN,1
Victor Wembanyama,SAS,2
Luka Doncic,LAL,3
Shai Gilgeous-Alexander,OKC,4
Giannis Antetokounmpo,MIA,5
Cade Cunningham,DET,6
Anthony Edwards,MIN,7
Anthony Davis,WAS,8
Tyrese Maxey,PHI,9
Alperen Sengun,HOU,10
Paolo Banchero,ORL,11
Trae Young,WAS,12
Donovan Mitchell,CLE,13
Jalen Brunson,NYK,14
LeBron James,PHI,15
Scottie Barnes,TOR,16
Karl-Anthony Towns,NYK,17
Jalen Johnson,ATL,18
LaMelo Ball,MIN,19
Josh Giddey,CHI,20
James Harden,CLE,21
Kevin Durant,HOU,22
Devin Booker,PHO,23
Stephen Curry,GSW,24
Domantas Sabonis,SAC,25
Bam Adebayo,MIA,26
Jaylen Brown,PHI,27
Jamal Murray,DEN,28
Evan Mobley,CLE,29
Cooper Flagg,DAL,30
Pascal Siakam,IND,31
Amen Thompson,HOU,32
Ja Morant,POR,33
Jalen Williams,OKC,34
Zion Williamson,NOR,35
De'Aaron Fox,SAS,36
Joel Embiid,PHI,37
Deni Avdija,POR,38
Austin Reaves,LAL,39
Kawhi Leonard,TOR,40
Jaren Jackson Jr.,UTH,41
Chet Holmgren,OKC,42
Franz Wagner,ORL,43
Trey Murphy III,NOR,44
Desmond Bane,ORL,45
Tyler Herro,MIL,46
Derrick White,BOS,47
Julius Randle,BKN,48
Walker Kessler,LAL,49
Jalen Duren,DET,50
Brandon Miller,CHA,51
Ivica Zubac,IND,52
Dyson Daniels,ATL,53
Darius Garland,LAC,54
Lauri Markkanen,UTH,55
Jarrett Allen,CLE,56
Coby White,CHA,57
Miles Bridges,PHO,58
Brandon Ingram,LAC,59
Josh Hart,NYK,60
Jalen Green,PHO,61
DeMar DeRozan,DEN,62
Michael Porter Jr.,BKN,63
Rudy Gobert,MIN,64
RJ Barrett,TOR,65
Stephon Castle,SAS,66
Paul George,BOS,67
Dejounte Murray,NOR,68
Keyonte George,UTH,69
Alex Sarr,WAS,70
Donovan Clingan,POR,71
Zach Edey,MEM,72
Zach LaVine,SAC,73
Onyeka Okongwu,ATL,74
Kristaps Porzingis,GSW,75
CJ McCollum,ATL,76
Naz Reid,CHA,77
OG Anunoby,NYK,78
Payton Pritchard,BOS,79
Nikola Vucevic,ORL,80
Immanuel Quickley,TOR,81
Norman Powell,CHI,82
Kyrie Irving,DAL,83
Mikal Bridges,NYK,84
Myles Turner,MIL,85
Jimmy Butler III,GSW,86
Jakob Poeltl,TOR,87
Matas Buzelis,CHI,88
Ausar Thompson,DET,89
Andrew Nembhard,IND,90
Jalen Suggs,ORL,91
Kevin Porter Jr.,MIL,92
Andrew Wiggins,MIA,93
Kel'el Ware,MIL,94
Isaiah Hartenstein,OKC,95
Keegan Murray,SAC,96
Nic Claxton,CHI,97
Jaden McDaniels,MIN,98
Devin Vassell,SAS,99
John Collins,DET,100
Jordan Poole,NOR,101
Bennedict Mathurin,NOR,102
Draymond Green,GSW,103
Aaron Gordon,DEN,104
Brandin Podziemski,GSW,105
Deandre Ayton,WAS,106
Mark Williams,PHO,107
Cameron Johnson,DEN,108
Anfernee Simons,PHI,109
Jabari Smith Jr.,HOU,110
Jrue Holiday,POR,111
P.J. Washington Jr.,DAL,112
VJ Edgecombe,PHI,113
Shaedon Sharpe,POR,114
Jusuf Nurkic,UTH,115
Ayo Dosunmu,MIN,116
Christian Braun,DEN,117
Jayson Tatum,BOS,118
Kon Knueppel,CHA,119
Isaiah Collier,UTH,120
Quentin Grimes,LAL,121
Nickeil Alexander-Walker,ATL,122
Tobias Harris,SAS,123
Tari Eason,HOU,124
Tyrese Haliburton,IND,125
Santi Aldama,DAL,126
Toumani Camara,POR,127
Jonathan Kuminga,MIN,128
Dereck Lively II,DAL,129
Scoot Henderson,POR,130
Damian Lillard,POR,131
Dennis Schroder,CHA,132
Malik Monk,SAC,133
Dylan Harper,SAS,134
Jaime Jaquez Jr.,MIL,135
Daniel Gafford,DAL,136
Kyle Kuzma,MIL,137
Reed Sheppard,HOU,138
Bobby Portis Jr.,MIA,139
Bradley Beal,LAC,140
Bilal Coulibaly,WAS,141
Ace Bailey,UTH,142
Derik Queen,NOR,143
Jerami Grant,MEM,144
Collin Sexton,LAL,145
Caleb Wilson,CHI,146
Dillon Brooks,PHO,147
Scotty Pippen Jr.,MEM,148
Kyshawn George,WAS,149
Rui Hachimura,LAC,150
Herbert Jones,NOR,151
Egor Demin,BKN,152
Kelly Oubre Jr.,IND,153
Ty Jerome,MEM,154
Brook Lopez,LAC,155
Cam Thomas,FA,156
Ryan Rollins,MIL,157
Wendell Carter Jr.,ORL,158
Davion Mitchell,MIA,159
Darius Acuff Jr.,FA,160
De'Andre Hunter,SAC,161
Cameron Boozer,MEM,162
Bub Carrington,WAS,163
Aaron Nesmith,IND,164
Cason Wallace,OKC,165
Anthony Black,ORL,166
Fred VanVleet,HOU,167
D'Angelo Russell,MEM,168
Darryn Peterson,UTH,169
Tre Jones,CHI,170
AJ Dybantsa,WAS,171
Tre Johnson,WAS,172
Kyle Filipowski,UTH,173
T.J. McConnell,IND,174
Grayson Allen,CHA,175
Russell Westbrook III,FA,176
Neemias Queta,BOS,177
Keldon Johnson,SAS,178
Cedric Coward,MEM,179
Day'Ron Sharpe,BKN,180
Donte DiVincenzo,MIN,181
Klay Thompson,MIA,182
Jaden Ivey,FA,183
Pelle Larsson,MIA,184
Jonas Valanciunas,FA,185
Nikola Jovic,MIA,186
Saddiq Bey,NOR,187
Khris Middleton,WAS,188
Jeremiah Fears,NOR,189
Peyton Watson,CLE,190
Jared McCain,OKC,191
Jeremy Sochan,POR,192
Naji Marshall,DAL,193
Zaccharie Risacher,DAL,194
Max Strus,LAC,195
Caris LeVert,MIL,196
Jordan Clarkson,NYK,197
Royce O'Neale,CHA,198
Joan Beringer,MIN,199
Yves Missi,NOR,200
Paul Reed,DET,201
Buddy Hield,ATL,202
