combined_rank,player,pos,team,value,blended_score,hkb_rank,current_rank,current_value,sp_rank,rp_rank,sources_matched
1,Shohei Ohtani,"UT,SP",LAD,100.0,1.0,1,1,100.0,,,1
2,Bobby Witt Jr.,SS,KC,86.8,2.0,2,2,86.8,,,1
3,Junior Caminero,3B,TB,79.4,3.0,3,4,74.2,,,1
4,James Wood,OF,WSH,74.2,4.0,4,117,22.0,,,1
5,Jacob Misiorowski,SP,MIL,70.3,5.0,5,10,58.7,1,,1
6,Pete Crow-Armstrong,OF,CHC,67.2,6.0,6,6,67.2,,,1
7,Elly De La Cruz,SS,CIN,64.6,7.0,7,7,64.6,,,1
8,Nick Kurtz,1B,ATH,62.4,8.0,8,145,19.1,,,1
9,Juan Soto,OF,NYM,60.4,9.0,9,76,27.9,,,1
10,Paul Skenes,SP,PIT,58.7,10.0,10,49,34.2,25,,1
11,Corbin Carroll,OF,ARI,57.1,11.0,11,9,60.4,,,1
12,Yordan Alvarez,OF,HOU,55.7,12.0,12,3,79.4,,,1
13,Kevin McGonigle,"3B,SS",DET,54.4,13.0,13,37,38.3,,,1
14,Konnor Griffin,SS,PIT,53.2,14.0,14,,,,,1
15,Jackson Chourio,OF,MIL,52.1,15.0,15,23,45.5,,,1
16,Tarik Skubal,SP,DET,51.1,16.0,16,8,62.4,2,,1
17,Cam Schlittler,SP,NYY,50.2,17.0,17,25,44.2,4,,1
18,CJ Abrams,SS,WSH,49.3,18.0,18,15,52.1,,,1
19,Yoshinobu Yamamoto,SP,LAD,48.4,19.0,19,18,49.3,5,,1
20,Chase Burns,"SP,RP",CIN,47.6,20.0,20,46,35.1,7,,1
21,Julio Rodriguez,OF,SEA,46.9,21.0,21,,,,,1
22,Ben Rice,"C,1B",NYY,46.1,22.0,22,32,40.5,,,1
23,Ronald Acuna Jr.,OF,ATL,45.5,23.0,23,12,55.7,,,1
24,Aaron Judge,OF,NYY,44.8,24.0,24,173,16.8,,,1
25,Fernando Tatis Jr.,"2B,OF",SD,44.2,25.0,25,5,70.3,,,1
26,JJ Wetherholt,"2B,SS",STL,43.6,26.0,26,79,27.4,,,1
27,Cristopher Sanchez,SP,PHI,43.0,27.0,27,16,51.1,23,,1
28,Jordan Walker,OF,STL,42.5,28.0,28,41,36.8,,,1
29,Drake Baldwin,C,ATL,41.9,29.0,29,85,26.4,,,1
30,Jesus Made,SS,MIL,41.4,30.0,30,,,,,1
31,Gunnar Henderson,SS,BAL,40.9,31.0,31,28,42.5,,,1
32,Sal Stewart,"1B,2B,3B",CIN,40.5,32.0,32,33,40.0,,,1
33,Brice Turang,2B,MIL,40.0,33.0,33,38,37.9,,,1
34,Kade Anderson,SP,SEA,39.6,34.0,34,258,11.6,44,,1
35,Vladimir Guerrero Jr.,1B,TOR,39.1,35.0,35,65,30.1,,,1
36,Roman Anthony,OF,BOS,38.7,36.0,36,241,12.5,,,1
37,Leo De Vries,SS,SD/ATH,38.3,37.0,37,,,,,1
38,Garrett Crochet,SP,BOS,37.9,38.0,38,313,9.2,,,1
39,Nolan McLean,SP,NYM,37.5,39.0,39,74,28.3,21,,1
40,Wyatt Langford,OF,TEX,37.1,40.0,40,57,32.0,,,1
41,Eury Perez,SP,MIA,36.8,41.0,41,91,25.4,22,,1
42,Jose Ramirez,3B,CLE,36.4,42.0,42,13,54.4,,,1
43,Bryan Woo,SP,SEA,36.1,43.0,43,55,32.5,27,,1
44,Jac Caglianone,"1B,OF",KC,35.8,44.0,44,77,27.8,,,1
45,Payton Tolle,"SP,RP",BOS,35.4,45.0,45,73,28.5,16,,1
46,Hunter Brown,SP,HOU,35.1,46.0,46,93,25.1,52,,1
47,Mason Miller,RP,ATH/SD,34.8,47.0,47,27,43.0,,1,1
48,Munetaka Murakami,"1B,3B",CHW,34.5,48.0,48,89,25.7,,,1
49,Seth Hernandez,SP,PIT,34.2,49.0,49,,,,,1
50,Kyle Schwarber,"1B,OF",PHI,33.9,50.0,50,14,53.2,,,1
51,Samuel Basallo,"C,1B",BAL,33.6,51.0,51,256,11.7,,,1
52,Jackson Merrill,OF,SD,33.3,52.0,52,31,40.9,,,1
53,Riley Greene,OF,DET,33.1,53.0,53,146,19.0,,,1
54,Dylan Cease,SP,SD,32.8,54.0,54,24,44.8,10,,1
55,Zach Neto,SS,LAA,32.5,55.0,55,51,33.6,,,1
56,Trey Yesavage,SP,TOR,32.3,56.0,56,230,13.1,,,1
