player,fantasy_team
Aaron Judge,Blake (2)
Alex Bregman,Blake (2)
Angeibel Gomez,Blake (2)
Bailey Ober,Blake (2)
Brandon Clarke,Blake (2)
Bryson Stott,Blake (2)
Byron Buxton,Blake (2)
Cade Smith,Blake (2)
Casey Schmitt,Blake (2)
Cole Carrigg,Blake (2)
Cole Ragans,Blake (2)
Colt Keith,Blake (2)
Connor Norby,Blake (2)
Corbin Burnes,Blake (2)
Davis Martin,Blake (2)
Dillon Dingler,Blake (2)
Eduardo Rodriguez,Blake (2)
Elly De La Cruz,Blake (2)
Emilio Pagan,Blake (2)
Emmet Sheehan,Blake (2)
Francisco Lindor,Blake (2)
Freddie Freeman,Blake (2)
George Klassen,Blake (2)
Grant Taylor,Blake (2)
Jackson Kent,Blake (2)
Jackson Merrill,Blake (2)
Jake Bennett,Blake (2)
Jake Burger,Blake (2)
James Tibbs III,Blake (2)
Jeremy Pena,Blake (2)
Jesus Made,Blake (2)
JoJo Parker,Blake (2)
Jose Ramirez,Blake (2)
Josh Bell,Blake (2)
Josh Hader,Blake (2)
Karson Milbrandt,Blake (2)
Kodai Senga,Blake (2)
Kumar Rocker,Blake (2)
Lazaro Montes,Blake (2)
Luke Keaschall,Blake (2)
Mason Miller,Blake (2)
Matt Shaw,Blake (2)
Mauricio Dubon,Blake (2)
Michael Harris II,Blake (2)
Michael McGreevy,Blake (2)
Michael Soroka,Blake (2)
Michael Wacha,Blake (2)
Mookie Betts,Blake (2)
Nate Pearson,Blake (2)
Nathan Eovaldi,Blake (2)
Nolan McLean,Blake (2)
Owen Caissie,Blake (2)
Quinn Mathews,Blake (2)
Raisel Iglesias,Blake (2)
Samuel Basallo,Blake (2)
Sebastian Walcott,Blake (2)
Seiya Suzuki,Blake (2)
Spencer Jones,Blake (2)
Tanner Bibee,Blake (2)
Tarik Skubal,Blake (2)
Taylor Ward,Blake (2)
Tim Tawa,Blake (2)
Tyler Glasnow,Blake (2)
Tyler Mahle,Blake (2)
Vladimir Guerrero Jr.,Blake (2)
Yoendrys Gomez,Blake (2)
Zack Wheeler,Blake (2)
A.J. Blubaugh,Devin (7)
Alexander Frias,Devin (7)
Andrew Painter,Devin (7)
Andruw Monasterio,Devin (7)
Andy Pages,Devin (7)
Blaze Alexander,Devin (7)
Brad Lord,Devin (7)
Brent Headrick,Devin (7)
Bryan Baker,Devin (7)
Bryce Eldridge,Devin (7)
Bryce Miller,Devin (7)
Bubba Chandler,Devin (7)
CJ Abrams,Devin (7)
Ceddanne Rafaela,Devin (7)
Chad Patrick,Devin (7)
Colson Montgomery,Devin (7)
Colton Cowser,Devin (7)
Connelly Early,Devin (7)
Cooper Flemming,Devin (7)
Cristopher Sanchez,Devin (7)
DJ Herz,Devin (7)
Dylan Cease,Devin (7)
Edward Florentino,Devin (7)
Elian Pena,Devin (7)
Erik Miller,Devin (7)
Esteury Ruiz,Devin (7)
Eury Perez,Devin (7)
Ezequiel Tovar,Devin (7)
Franklin Arias,Devin (7)
Garrett Crochet,Devin (7)
Gary Sanchez,Devin (7)
Gunnar Henderson,Devin (7)
Huascar Brazoban,Devin (7)
Hunter Brown,Devin (7)
Jack Leiter,Devin (7)
Jakob Junis,Devin (7)
JoJo Romero,Devin (7)
Jonny Farmelo,Devin (7)
Joseph Dzierwa,Devin (7)
Josh Naylor,Devin (7)
Josuar Gonzalez,Devin (7)
Josue Briceno,Devin (7)
Juan Morillo,Devin (7)
