player,fantasy_team
Ace Bailey,Blake (2)
Andrew Nembhard,Blake (2)
Austin Reaves,Blake (2)
Bones Hyland,Blake (2)
Brandon Williams,Blake (2)
Bub Carrington,Blake (2)
Cam Spencer,Blake (2)
De'Aaron Fox,Blake (2)
GG Jackson,Blake (2)
Jalen Johnson,Blake (2)
Jarace Walker,Blake (2)
Jay Huff,Blake (2)
Jaylin Williams,Blake (2)
Jaylon Tyson,Blake (2)
Kawhi Leonard,Blake (2)
Keyonte George,Blake (2)
Kristaps Porziņģis,Blake (2)
Luguentz Dort,Blake (2)
Marvin Bagley III,Blake (2)
Max Christie,Blake (2)
Max Strus,Blake (2)
Oso Ighodaro,Blake (2)
Quentin Grimes,Blake (2)
RJ Barrett,Blake (2)
Ryan Kalkbrenner,Blake (2)
Sandro Mamukelashvili,Blake (2)
Shaedon Sharpe,Blake (2)
Sion James,Blake (2)
VJ Edgecombe,Blake (2)
Zach Collins,Blake (2)
Aaron Wiggins,Devin (7)
Andre Drummond,Devin (7)
Anfernee Simons,Devin (7)
Bradley Beal,Devin (7)
Collin Murray-Boyles,Devin (7)
Cooper Flagg,Devin (7)
Dillon Brooks,Devin (7)
Dru Smith,Devin (7)
Herbert Jones,Devin (7)
Jamal Shead,Devin (7)
Jaxson Hayes,Devin (7)
Jordan Poole,Devin (7)
Jordan Walsh,Devin (7)
Kelly Oubre Jr.,Devin (7)
Kentavious Caldwell-Pope,Devin (7)
Keon Ellis,Devin (7)
Leonard Miller,Devin (7)
Luke Kornet,Devin (7)
Maxime Raynaud,Devin (7)
Nikola Jović,Devin (7)
Nique Clifford,Devin (7)
Paul Reed,Devin (7)
Ryan Nembhard,Devin (7)
Sam Merrill,Devin (7)
Svi Mykhailiuk,Devin (7)
Taurean Prince,Devin (7)
Terance Mann,Devin (7)
Tidjane Salaün,Devin (7)
Vít Krejčí,Devin (7)
Yves Missi,Devin (7)
Ziaire Williams,Devin (7)
Ajay Mitchell,Jeremy (3)
Alondes Williams,Jeremy (3)
Alperen Şengün,Jeremy (3)
Anthony Black,Jeremy (3)
Brice Sensabaugh,Jeremy (3)
Chet Holmgren,Jeremy (3)
Dean Wade,Jeremy (3)
Dylan Cardwell,Jeremy (3)
Dylan Harper,Jeremy (3)
Goga Bitadze,Jeremy (3)
Hugo González,Jeremy (3)
Jonas Valančiūnas,Jeremy (3)
Julian Champagnie,Jeremy (3)
Moussa Diabaté,Jeremy (3)
Neemias Queta,Jeremy (3)
Nickeil Alexander-Walker,Jeremy (3)
Noah Penda,Jeremy (3)
Olivier-Maxence Prosper,Jeremy (3)
Pelle Larsson,Jeremy (3)
Quenton Jackson,Jeremy (3)
Reed Sheppard,Jeremy (3)
Saddiq Bey,Jeremy (3)
Sam Hauser,Jeremy (3)
Scoot Henderson,Jeremy (3)
Spencer Jones,Jeremy (3)
Tari Eason,Jeremy (3)
Thomas Sorber,Jeremy (3)
Tre Jones,Jeremy (3)
Trendon Watford,Jeremy (3)
Ty Jerome,Jeremy (3)
Victor Wembanyama,Jeremy (3)
Will Richard,Jeremy (3)
Andrew Wiggins,Jonathan (4)
Anthony Davis,Jonathan (4)
Brandon Miller,Jonathan (4)
Cedric Coward,Jonathan (4)
Cody Williams,Jonathan (4)
Davion Mitchell,Jonathan (4)
Day'Ron Sharpe,Jonathan (4)
Deni Avdija,Jonathan (4)
Derik Queen,Jonathan (4)
Giannis Antetokounmpo,Jonathan (4)
Jaden McDaniels,Jonathan (4)
Jaime Jaquez Jr.,Jonathan (4)
Jerami Grant,Jonathan (4)
Joan Beringer,Jonathan (4)
Josh Minott,Jonathan (4)
Kasparas Jakučionis,Jonathan (4)
Kel'el Ware,Jonathan (4)
Klay Thompson,Jonathan (4)
