player,fantasy_team
A.J. Brown,Blake (2)
Ashton Jeanty,Blake (2)
Bijan Robinson,Blake (2)
Braelon Allen,Blake (2)
Breece Hall,Blake (2)
Brock Bowers,Blake (2)
Caleb Douglas,Blake (2)
Carson Beck,Blake (2)
Chris Olave,Blake (2)
Chris Rodriguez Jr.,Blake (2)
Dalton Schultz,Blake (2)
Drake Maye,Blake (2)
Eli Heidenreich,Blake (2)
Emari Demercado,Blake (2)
Harold Fannin Jr.,Blake (2)
Jahmyr Gibbs,Blake (2)
Javonte Williams,Blake (2)
Joe Burrow,Blake (2)
Justin Jefferson,Blake (2)
Juwan Johnson,Blake (2)
Keenan Allen,Blake (2)
Kenneth Walker III,Blake (2)
Malik Benson,Blake (2)
Marvin Mims Jr.,Blake (2)
Rashee Rice,Blake (2)
Sam Darnold,Blake (2)
Tee Higgins,Blake (2)
TreVeyon Henderson,Blake (2)
Troy Franklin,Blake (2)
Zachariah Branch,Blake (2)
Aaron Rodgers,Devin (7)
Brenton Strange,Devin (7)
Bryce Lance,Devin (7)
Christian McCaffrey,Devin (7)
Daniel Jones,Devin (7)
DeMario Douglas,Devin (7)
Derrick Henry,Devin (7)
Deshaun Watson,Devin (7)
Devin Singletary,Devin (7)
Drew Allar,Devin (7)
Elijah Sarratt,Devin (7)
Emanuel Wilson,Devin (7)
Gunnar Helm,Devin (7)
Isaiah Davis,Devin (7)
Ja'Kobi Lane,Devin (7)
Jake Ferguson,Devin (7)
Jakobi Meyers,Devin (7)
Jalen Milroe,Devin (7)
Jauan Jennings,Devin (7)
Jordan Mason,Devin (7)
Josh Allen,Devin (7)
Marvin Harrison Jr.,Devin (7)
Mike Evans,Devin (7)
Puka Nacua,Devin (7)
Ryan Flournoy,Devin (7)
Saquon Barkley,Devin (7)
Tank Dell,Devin (7)
Tre Tucker,Devin (7)
Tucker Kraft,Devin (7)
Tyler Shough,Devin (7)
Cam Skattebo,Jeremy (3)
Cam Ward,Jeremy (3)
CeeDee Lamb,Jeremy (3)
Chase Brown,Jeremy (3)
Chris Bell,Jeremy (3)
Damien Martinez,Jeremy (3)
Darnell Mooney,Jeremy (3)
Eli Raridon,Jeremy (3)
George Holani,Jeremy (3)
Isaiah Likely,Jeremy (3)
Jack Bech,Jeremy (3)
Jacory Croskey-Merritt,Jeremy (3)
Jake Tonges,Jeremy (3)
Jalen Royals,Jeremy (3)
Jarquez Hunter,Jeremy (3)
Jaxson Dart,Jeremy (3)
Jayden Daniels,Jeremy (3)
Jaylin Noel,Jeremy (3)
Justice Hill,Jeremy (3)
Kyle Williams,Jeremy (3)
Ladd McConkey,Jeremy (3)
Mac Jones,Jeremy (3)
Mack Hollins,Jeremy (3)
Makai Lemon,Jeremy (3)
Marcus Mariota,Jeremy (3)
Matthew Golden,Jeremy (3)
Michael Pittman Jr.,Jeremy (3)
Michael Wilson,Jeremy (3)
Oronde Gadsden,Jeremy (3)
Trey Lance,Jeremy (3)
Tyler Allgeier,Jeremy (3)
Zach Charbonnet,Jeremy (3)
AJ Barner,Jonathan (4)
Brandon Aiyuk,Jonathan (4)
Brenen Thompson,Jonathan (4)
Carnell Tate,Jonathan (4)
Cedric Tillman,Jonathan (4)
Chimere Dike,Jonathan (4)
Dak Prescott,Jonathan (4)
De'Von Achane,Jonathan (4)
Deebo Samuel Sr.,Jonathan (4)
Denzel Boston,Jonathan (4)
Devontez Walker,Jonathan (4)
Dont'e Thornton Jr.,Jonathan (4)
Fernando Mendoza,Jonathan (4)
Germie Bernard,Jonathan (4)
Greg Dulcich,Jonathan (4)
Jordan James,Jonathan (4)
Keaton Mitchell,Jonathan (4)
Kevin Coleman Jr.,Jonathan (4)
Kyle Monangai,Jonathan (4)
MarShawn Lloyd,Jonathan (4)
Mason Taylor,Jonathan (4)
Mike Washington Jr.,Jonathan (4)
Pat Bryant,Jonathan (4)
Ricky Pearsall,Jonathan (4)
Savion Williams,Jonathan (4)
Tahj Brooks,Jonathan (4)
Terrance Ferguson,Jonathan (4)
Tetairoa McMillan,Jonathan (4)
Tre' Harris,Jonathan (4)
Tua Tagovailoa,Jonathan (4)
Tyler Warren,Jonathan (4)
Antonio Williams,Kevin (5)
Bhayshul Tuten,Kevin (5)
Bo Nix,Kevin (5)
C.J. Stroud,Kevin (5)
D'Andre Swift,Kevin (5)
DJ Moore,Kevin (5)
DK Metcalf,Kevin (5)
Demond Claiborne,Kevin (5)
Dylan Sampson,Kevin (5)
Elijah Arroyo,Kevin (5)
Garrett Wilson,Kevin (5)
Hunter Henry,Kevin (5)
J.K. Dobbins,Kevin (5)
Jalen McMillan,Kevin (5)
Jared Goff,Kevin (5)
Jerry Jeudy,Kevin (5)
Jordyn Tyson,Kevin (5)
Josh Downs,Kevin (5)
Josh Jacobs,Kevin (5)
Justin Fields,Kevin (5)
Kirk Cousins,Kevin (5)
Kyler Murray,Kevin (5)
LeQuint Allen Jr.,Kevin (5)
Mark Andrews,Kevin (5)
Max Klare,Kevin (5)
Michael Mayer,Kevin (5)
Oscar Delp,Kevin (5)
T.J. Hockenson,Kevin (5)
Tyquan Thornton,Kevin (5)
Woody Marks,Kevin (5)
Adonai Mitchell,Kyle (11)
Amon-Ra St. Brown,Kyle (11)
Anthony Richardson Sr.,Kyle (11)
Calvin Ridley,Kyle (11)
Chig Okonkwo,Kyle (11)
Colston Loveland,Kyle (11)
Davante Adams,Kyle (11)
David Montgomery,Kyle (11)
Isaac TeSlaa,Kyle (11)
Isiah Pacheco,Kyle (11)
J.J. McCarthy,Kyle (11)
James Conner,Kyle (11)
James Cook III,Kyle (11)
Jameson Williams,Kyle (11)
Jonah Coleman,Kyle (11)
Jonathon Brooks,Kyle (11)
Justin Herbert,Kyle (11)
Kaleb Johnson,Kyle (11)
Kenny Gainwell,Kyle (11)
Lamar Jackson,Kyle (11)
Malachi Fields,Kyle (11)
Malik Nabers,Kyle (11)
Nico Collins,Kyle (11)
Pat Freiermuth,Kyle (11)
Ray Davis,Kyle (11)
Sam LaPorta,Kyle (11)
Sean Tucker,Kyle (11)
Stefon Diggs,Kyle (11)
Trey Benson,Kyle (11)
Ty Simpson,Kyle (11)
Alec Pierce,Russell (10)
Brock Purdy,Russell (10)
Christian Watson,Russell (10)
Cooper Kupp,Russell (10)
Cyrus Allen,Russell (10)
Dalton Kincaid,Russell (10)
Darius Slayton,Russell (10)
DeAndre Hopkins,Russell (10)
Drake London,Russell (10)
Jalen Hurts,Russell (10)
Jayden Reed,Russell (10)
Jordan Love,Russell (10)
Kenyon Sadiq,Russell (10)
Luke McCaffrey,Russell (10)
Malik Willis,Russell (10)
Nick Westbrook-Ikhine,Russell (10)
Omarion Hampton,Russell (10)
Quentin Johnston,Russell (10)
Quinshon Judkins,Russell (10)
RJ Harvey,Russell (10)
Rashod Bateman,Russell (10)
Rico Dowdle,Russell (10)
Rome Odunze,Russell (10)
Shedeur Sanders,Russell (10)
Skyler Bell,Russell (10)
Tank Bigsby,Russell (10)
Tutu Atwell,Russell (10)
Tyrone Tracy Jr.,Russell (10)
Wan'Dale Robinson,Russell (10)
Zay Flowers,Russell (10)
AJ Dillon,Stephen B (12)
Blake Corum,Stephen B (12)
Cade Klubnik,Stephen B (12)
Cade Otton,Stephen B (12)
Caleb Williams,Stephen B (12)
Christian Kirk,Stephen B (12)
Chuba Hubbard,Stephen B (12)
Dontayvion Wicks,Stephen B (12)
