reason,player,hkb_rank,best_rank
"ranked, no name match (add to aliases)",elmer rodriguez cruz,313,313
"ranked, no name match (add to aliases)",francisco renteria,399,399
"ranked, no name match (add to aliases)",angeibel gomez,555,555
"ranked, no name match (add to aliases)",wandy asigen,588,588
"ranked, no name match (add to aliases)",yostin pena,726,726
"ranked, no name match (add to aliases)",jacob webb,733,733
"ranked, no name match (add to aliases)",johenssy colome,746,746
"ranked, no name match (add to aliases)",alex wood,852,852
"ranked, no name match (add to aliases)",angel nunez,852,852
"ranked, no name match (add to aliases)",anthony rizzo,852,852
"ranked, no name match (add to aliases)",eduardo herrera,852,852
"ranked, no name match (add to aliases)",elian rosario,852,852
"ranked, no name match (add to aliases)",fabricio blanco,852,852
"ranked, no name match (add to aliases)",gino groover,852,852
"ranked, no name match (add to aliases)",james paxton,852,852
"ranked, no name match (add to aliases)",jose ramos,852,852
"ranked, no name match (add to aliases)",juan rijo,852,852
"ranked, no name match (add to aliases)",kevin kiermaier,852,852
"ranked, no name match (add to aliases)",kevin pillar,852,852
"ranked, no name match (add to aliases)",kyle gibson,852,852
"ranked, no name match (add to aliases)",ricardo cabrera,852,852
"ranked, no name match (add to aliases)",ricki moneys,852,852
"ranked, no name match (add to aliases)",ross stripling,852,852
"ranked, no name match (add to aliases)",ryan weiss,852,852
"ranked, no name match (add to aliases)",santiago solarte,852,852
"ranked, no name match (add to aliases)",sean linan,852,852
"ranked, no name match (add to aliases)",victor valdez,852,852
"ranked, no name match (add to aliases)",whit merrifield,852,852
"ranked, no name match (add to aliases)",yeremi cabrera,852,852
"on authority, unranked by all sources",Kyle Hendricks,,
"on authority, unranked by all sources",Charlie Morton,,
"on authority, unranked by all sources",Clayton Kershaw,,
"on authority, unranked by all sources",Tyler Anderson,,
"on authority, unranked by all sources",Andrew Heaney,,
"on authority, unranked by all sources",Luis Ortiz,,
"on authority, unranked by all sources",Jimmy Herget,,
"on authority, unranked by all sources",Lake Bachar,,
"on authority, unranked by all sources",Tanner Banks,,
"on authority, unranked by all sources",Brandon Eisert,,
"on authority, unranked by all sources",Jacob Webb,,
"on authority, unranked by all sources",Spencer Bivens,,
"on authority, unranked by all sources",Juan Mejia,,
"on authority, unranked by all sources",Justin Wilson,,
"on authority, unranked by all sources",Matt Festa,,
"on authority, unranked by all sources",Jose Iglesias,,
"on authority, unranked by all sources",Tyler Ferguson,,
"on authority, unranked by all sources",Steven Wilson,,
"on authority, unranked by all sources",Luis Garcia,,
"on authority, unranked by all sources",Nick Allen,,
"on authority, unranked by all sources",Kolby Allard,,
"on authority, unranked by all sources",Rafael Montero,,
"on authority, unranked by all sources",Tyler Gilbert,,
"on authority, unranked by all sources",Dietrich Enns,,
"on authority, unranked by all sources",Luke Jackson,,
"on authority, unranked by all sources",Cade Gibson,,
"on authority, unranked by all sources",Brent Suter,,
"on authority, unranked by all sources",Sam Haggerty,,
"on authority, unranked by all sources",Aaron Bummer,,
"on authority, unranked by all sources",Casey Legumina,,
"on authority, unranked by all sources",Tristan Beck,,
"on authority, unranked by all sources",Kody Funderburk,,
"on authority, unranked by all sources",Andy Ibanez,,
"on authority, unranked by all sources",Connor Brogdon,,
"on authority, unranked by all sources",Tyler Heineman,,
"on authority, unranked by all sources",Jorge Alcala,,
"on authority, unranked by all sources",Kaleb Ort,,
"on authority, unranked by all sources",Christian Koss,,
"on authority, unranked by all sources",Michael Kelly,,
"on authority, unranked by all sources",Chase Shugart,,
"on authority, unranked by all sources",Chase Lee,,
"on authority, unranked by all sources",Mason Englert,,
"on authority, unranked by all sources",Lou Trivino,,
"on authority, unranked by all sources",Chad Green,,
"on authority, unranked by all sources",Riley Adams,,
"on authority, unranked by all sources",Alexander Canario,,
"on authority, unranked by all sources",Tommy Nance,,
"on authority, unranked by all sources",Paul DeJong,,
"on authority, unranked by all sources",Daysbel Hernandez,,
"on authority, unranked by all sources",Chris Flexen,,
"on authority, unranked by all sources",Max Kranick,,
"on authority, unranked by all sources",Jose Fermin,,
"on authority, unranked by all sources",John Curtiss,,
"on authority, unranked by all sources",Joe Ross,,
"on authority, unranked by all sources",Alex Verdugo,,
"on authority, unranked by all sources",Yohel Pozo,,
"on authority, unranked by all sources",Reese McGuire,,
"on authority, unranked by all sources",Nic Enright,,
"on authority, unranked by all sources",Miles Mastrobuoni,,
"on authority, unranked by all sources",Trent Thornton,,
"on authority, unranked by all sources",Cam Booser,,
"on authority, unranked by all sources",Andrew Chafin,,
"on authority, unranked by all sources",Michael Helman,,
"on authority, unranked by all sources",Justin Turner,,
"on authority, unranked by all sources",John Rave,,
"on authority, unranked by all sources",Matt Thaiss,,
"on authority, unranked by all sources",Anthony DeSclafani,,
"on authority, unranked by all sources",Joey Lucchesi,,
"on authority, unranked by all sources",Ryan Borucki,,
"on authority, unranked by all sources",Scott Blewett,,
"on authority, unranked by all sources",Shawn Dubin,,
"on authority, unranked by all sources",James McCann,,
"on authority, unranked by all sources",Jose Urena,,
"on authority, unranked by all sources",Caleb Boushley,,
"on authority, unranked by all sources",Zack Kelly,,
"on authority, unranked by all sources",Gio Urshela,,
"on authority, unranked by all sources",Jose Herrera,,
"on authority, unranked by all sources",Hector Neris,,
"on authority, unranked by all sources",Konnor Pilkington,,
"on authority, unranked by all sources",Nabil Crismatt,,
"on authority, unranked by all sources",David Robertson,,
"on authority, unranked by all sources",Chris Murphy,,
"on authority, unranked by all sources",Angel Chivilli,,
"on authority, unranked by all sources",Kyle Nicolas,,
"on authority, unranked by all sources",Austin Wynns,,
"on authority, unranked by all sources",Donovan Solano,,
"on authority, unranked by all sources",Austin Slater,,
"on authority, unranked by all sources",Max Lazar,,
"on authority, unranked by all sources",Carlos Carrasco,,
"on authority, unranked by all sources",PJ Poulin,,
"on authority, unranked by all sources",Genesis Cabrera,,
"on authority, unranked by all sources",Kyle Backhus,,
"on authority, unranked by all sources",Carlos Hernandez,,
"on authority, unranked by all sources",Jose Castillo,,
