reason,player,fp_dynasty_rank,ktc_rank,best_rank
"ranked, no name match (add to aliases)",brandon polk,434,,434
"ranked, no name match (add to aliases)",eric mcalister,443,,443
"ranked, no name match (add to aliases)",javon baker,507,430,430
"ranked, no name match (add to aliases)",jermaine burton,482,,482
"ranked, no name match (add to aliases)",zack moss,486,,486
"ranked, no name match (add to aliases)",daylan smothers,498,,498
"ranked, no name match (add to aliases)",rahsul faison,501,,501
"ranked, no name match (add to aliases)",mark fletcher,504,,504
"ranked, no name match (add to aliases)",allen lazard,534,,534
"ranked, no name match (add to aliases)",henry ruggs,548,,548
"on authority, unranked by all sources",Nick Chubb,,,
"on authority, unranked by all sources",Hunter Renfrow,,,
"on authority, unranked by all sources",Nick Vannett,,,
"on authority, unranked by all sources",CJ Dippre,,,
"on authority, unranked by all sources",Carson Towt,,,
"on authority, unranked by all sources",Evan Svoboda,,,
"on authority, unranked by all sources",Chris Myarick,,,
"on authority, unranked by all sources",Albert Okwuegbunam Jr.,,,
"on authority, unranked by all sources",Bauer Sharp,,,
"on authority, unranked by all sources",Lance Mason,,,
"on authority, unranked by all sources",Marcedes Lewis,,,
"on authority, unranked by all sources",DJ Rogers,,,
"on authority, unranked by all sources",Messiah Swinson,,,
"on authority, unranked by all sources",Tanner Arkin,,,
"on authority, unranked by all sources",Johnny Pascuzzi,,,
"on authority, unranked by all sources",Connor Hulstein,,,
"on authority, unranked by all sources",Chamon Metayer,,,
"on authority, unranked by all sources",Devin Culp,,,
"on authority, unranked by all sources",Sal Cannella,,,
"on authority, unranked by all sources",Ademola Faleye,,,
"on authority, unranked by all sources",Treyton Welch,,,
"on authority, unranked by all sources",Mitch Van Vooren,,,
"on authority, unranked by all sources",Tre Watson,,,
"on authority, unranked by all sources",Robert Tonyan,,,
"on authority, unranked by all sources",Nikola Kalinic,,,
"on authority, unranked by all sources",Eni Falayi,,,
"on authority, unranked by all sources",Patrick Gurd,,,
"on authority, unranked by all sources",E.J. Jenkins,,,
"on authority, unranked by all sources",Bryson Nesbit,,,
"on authority, unranked by all sources",Rivaldo Fairweather,,,
"on authority, unranked by all sources",Travis Vokolek,,,
"on authority, unranked by all sources",James Mitchell,,,
"on authority, unranked by all sources",Matt Lauter,,,
"on authority, unranked by all sources",Tyree Jackson,,,
"on authority, unranked by all sources",Caden Prieskorn,,,
"on authority, unranked by all sources",Khalil Dinkins,,,
"on authority, unranked by all sources",Joshua Simon,,,
"on authority, unranked by all sources",DeShawn Hanika,,,
"on authority, unranked by all sources",Zaire Mitchell-Paden,,,
"on authority, unranked by all sources",Joel Wilson,,,
"on authority, unranked by all sources",Stone Eby,,,
"on authority, unranked by all sources",Brandon Frazier,,,
"on authority, unranked by all sources",Baylor Cupp,,,
"on authority, unranked by all sources",Hayden Rucci,,,
"on authority, unranked by all sources",Luke Lachey,,,
"on authority, unranked by all sources",McCallan Castles,,,
"on authority, unranked by all sources",Keleki Latu,,,
"on authority, unranked by all sources",Nick Kallerup,,,
"on authority, unranked by all sources",Tre' McKitty,,,
"on authority, unranked by all sources",Nick Muse,,,
"on authority, unranked by all sources",Brett Weaver,,,
"on authority, unranked by all sources",Kenny Fletcher Jr.,,,
"on authority, unranked by all sources",Zack Kuntz,,,
"on authority, unranked by all sources",Chase Curtis,,,
